Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.149392343,O,CCOCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,RTZKZFJDLAIYFH-UHFFFAOYSA-N
-0.306216397,O,C1=CC=C(C=C1)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
-0.317338268,O,CCCCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N
-0.31844067,O,CC(C)CCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,PHTQWCKDNZKARW-UHFFFAOYSA-N
-0.445081575,O,C1CCC(=O)CC1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N
-0.47850713,O,CCCOC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N
-0.515100997,O,CC(C)OC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N
-0.615061235,O,CC(C)(C)OC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N
-0.971132549,O,CCCCOC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N
-1.067037788,O,CCCCCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N
-1.200478063,O,C1=CC=C(C=C1)C=O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N
-1.263905824,O,C(Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N
-1.484595941,O,C(CCl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,WSLDOOZREJYCGB-UHFFFAOYSA-N
-1.545593892,O,CCCCCCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N
-1.763889649,O,C(Cl)(Cl)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N
-2.253661021,O,C1=CC=CC=C1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N
-2.363809092,O,CCCCCCCCO,XLYOFNOQVPJJNP-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N
-2.413264927,O,C1=CC=C(C=C1)Cl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N
-2.539611017,O,CC1=CC=CC=C1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N
-2.803687392,O,CCC1=CC=CC=C1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N
